City_Name,n,AcresNeeded_to_HighIncomeUHI,AcresNeeded_to_HighIncomeCanopyPercent,PercentNeeded_to_HighIncomeCanopyPercent,AcresNeeded_to_HighIncomeUHI_Lim,AcresNeeded_to_HighIncomeCanopyPercent_Lim,HiInco_CanAcres,HiInco_CanopyPercent,LoInco_CanAcres,LoInco_CanopyPercent,HiLo_TreeGap_Perc,HiLo_TreeGap_Acres,Potential_Acres,Total_Area_Acres,Potential_Acres_vs_AcresNeeded_to_HighIncomeUHI,Potential_Acres_vs_AcresNeeded_to_HighIncomeCanopyPercent,Total_CanopyAcres,Total_CanopyPercent,Current_Avg_UHI,Current_Std_UHI,Modeled_Avg_UHI,Modeled_Std_UHI,MinPot_Avg_UHI,MinPot_Std_UHI,TGPot_Avg_UHI,TGPot_Std_UHI,MinDiff_Avg_UHI,MinDiff_Std_UHI,TGDiff_Avg_UHI,TGDiff_Std_UHI,UGPot_Avg_UHI_Lim,UGPot_Std_UHI_Lim,TGPot_Avg_UHI_Lim,TGPot_Std_UHI_Lim,UGDiff_Avg_UHI_Lim,UGDiff_Std_UHI_Lim,TGDiff_Avg_UHI_Lim,TGDiff_Std_UHI_Lim,HiInco_UHI,LoInco_UHI,HiLo_UHIGap,Regr_r2,Regr_slope,SlopeConf95Low,SlopeConf95High,Income_Quartile_1_MaxVal,Income_Quartile_2_MaxVal,Income_Quartile_3_MaxVal,Income_Quartile_1_Population,Income_Quartile_2_Population,Income_Quartile_3_Population,Income_Quartile_4_Population,Total_Population,Pot_kW_Low,Pot_kW_High
"Antioch, CA",131,1453.73,1739.96,3.3389527536918826,1453.73,1739.96,5513.33851,10.58,6190.78086,11.88,-1.3000000000000007,-677.4423500000003,14586.060000000001,52110.95,1453.73,1739.96,4264.46,8.183424021246974,1.7598496342899141,1.6270988744858401,1.9051951115840338,1.1533775113274203,-0.8594491445655856,1.3626611837120142,1.4470663593736057,1.786811416031688,2.619613624391803,0.9178038167261184,0.3118149352487337,0.2835755288707295,1.4989747720968434,1.3983228760515767,1.4470663593736057,1.786811416031688,0.26087486219307077,0.4367255818902012,0.3118149352487337,0.2835755288707295,2.46,2.4,-0.06000000000000005,0.51,-9.36,-15.23,-3.49,54972.0,71364.0,97652.0,53972.0,69951.0,71978.0,117797.0,313698.0,0.0,0.0
"Thousand Oaks, CA",130,11402.439999999999,1866.95,3.183353632658434,5769.460000000001,1859.93,15394.908374999999,26.25,15306.93747,26.1,0.14999999999999858,87.97090499999831,16673.67,58647.270000000004,11402.439999999999,1866.95,14667.849999999999,25.010286071286856,0.14496242024564826,1.5933225370745918,0.31916269930382096,0.7912270234400381,-0.6413837353384053,1.5997316982205725,0.056911789755942604,1.594197359273997,0.7862754464103785,0.29227907748746446,0.08756053777098234,0.12067232595526055,-0.12754855255837141,1.314959531190216,0.05730246437728474,1.594327944859176,0.27200251094381717,0.3743392301096383,0.08736520046031127,0.1204494831243535,0.33,1.52,1.19,0.29,-2.77,-7.81,2.28,96062.5,119517.5,146874.75,66725.0,55946.0,54770.0,64310.0,241751.0,2176.3100000000004,8102.38
"Santa Clarita, CA",125,5714.72,3468.2000000000003,7.344552966356986,5170.91,3395.37,10615.368472,22.48,7843.472878999999,16.61,5.870000000000001,2771.895593000001,14425.280000000002,47221.389999999985,5714.72,3468.2000000000003,7678.3099999999995,16.260237151002972,-0.8779865099269633,1.5024216691404892,-0.950876551918527,1.2601365721967273,-3.7550954556822664,1.6998059814376147,-1.570637594530784,1.29565591425645,2.8765254813549537,0.8292975164586945,0.6913942982195147,0.5395006187929426,-1.9120668705432013,0.6812932024219773,-1.5560441401661411,1.2819195228103828,1.0315663876052785,0.9818341339615233,0.6771690519910577,0.5184639928560458,-1.79,-0.18,1.61,0.62,-9.42,-13.42,-5.41,68962.0,99306.0,121250.0,49018.0,63095.0,75528.0,80863.0,268504.0,7670.94,28893.910000000003
"Visalia, CA",124,4307.46,1306.8999999999999,3.4132973120642784,3753.5399999999995,1302.1399999999999,6512.872149000002,17.01,5195.748093000001,13.57,3.4400000000000013,1317.1240560000006,9417.25,38288.49,4307.46,1306.8999999999999,6069.160000000001,15.851134374847378,5.083673445988598,0.9673922972022164,4.967627597745432,0.7811968215186245,3.817790132230339,0.9915995921799698,4.9078682314188935,0.8840110672093823,1.2662020988552956,0.4480171208320751,0.17596081485584833,0.19182866330785253,4.581283819236538,0.5733718774628521,4.908487482791826,0.8833290912793667,0.5050595753449666,0.5145607978260016,0.17534156348291616,0.19040509803540312,4.75,5.45,0.7000000000000002,0.55,-5.15,-7.76,-2.53,38852.0,52057.5,72500.0,47589.0,51672.0,67967.0,64222.0,231450.0,0.0,0.0
"Vallejo, CA",111,3050.3999999999996,642.7500000000001,2.1189576739234854,2937.2599999999993,642.7500000000001,3166.797564,10.44,4110.163505,13.55,-3.110000000000001,-943.3659410000005,7595.38,30333.310000000005,3050.3999999999996,642.7500000000001,3114.33,10.267029875737265,0.7549422664391061,0.984363920123907,0.5835163752323764,0.6058058119987993,-1.0880100622055422,1.0892303174507143,0.5981757974978664,0.9304218983770101,1.8427631834442069,0.521760574646982,0.15649215664231828,0.16301076180073643,0.04136227797098306,0.3817850671070915,0.5981757974978664,0.9304218983770101,0.7128363142696922,0.761612873126549,0.15649215664231828,0.16301076180073643,0.16,0.85,0.69,0.54,-7.36,-10.76,-3.96,56661.0,73525.0,100077.5,39208.0,41062.0,41104.0,55016.0,176390.0,0.0,0.0
"Salinas, CA",100,2590.46,1829.2299999999998,5.931561179327557,2271.02,1801.4799999999998,5295.044281000001,17.17,1652.9666480000003,5.36,11.810000000000002,3642.077633000001,8544.010000000002,30838.93,2590.46,1829.2299999999998,6070.620000000001,19.684924217539326,2.9404496459507508,1.4721504498333855,2.9116358609069777,1.4552366017137983,1.4092480024436647,1.4422496705306451,2.6127145494347563,1.2594799956975489,1.5316418954872943,0.589922813498451,0.3274180459568475,0.3306327181195301,2.5347686576674353,1.063234412192045,2.617775999361845,1.2584731274583396,0.40728402055453927,0.5924628519264727,0.32262489651878323,0.32463043115587376,3.22,4.64,1.4199999999999995,0.83,-5.53,-7.19,-3.87,50117.25,61917.0,81041.25,48969.0,51496.0,51619.0,50193.0,202277.0,0.0,0.0
"Redding, CA",87,8115.870000000001,2836.3700000000003,6.170822907649235,5154.619999999999,2674.11,17296.332222999998,37.63,15200.364247,33.07,4.560000000000002,2095.967975999998,10972.51,45964.21,8115.870000000001,2836.3700000000003,16700.870000000003,36.3345089581655,2.0203714368200822,1.507898770709292,1.9443088328941145,0.7981724965707427,0.8618717889418746,1.4498112195524007,1.7202643556802126,1.405421632925231,1.1589750568975297,0.33174434069683667,0.29983784557593834,0.36728238694153925,1.4771904640588844,1.1231470792746032,1.7374913916719115,1.4248606093022296,0.5439737939583864,0.5794015184055793,0.28228221914398177,0.33170330612743526,1.47,2.16,0.6900000000000002,0.36,-4.86,-7.8,-1.91,39200.5,49327.0,63860.5,29398.0,28545.0,35360.0,33529.0,126832.0,0.0,0.0
"Fairfield, CA",85,3326.01,587.11,2.713751055599287,2488.56,587.11,2602.6459890000006,12.03,2641.5883230000004,12.21,-0.1800000000000015,-38.942333999999846,5040.76,21634.63,3326.01,587.11,2438.6899999999996,11.272159496141137,0.7415280917676891,0.9128047132477696,0.7097134917491079,0.7364388130299443,-0.08966664555853274,0.9559812515967118,0.6443505343054168,0.902919681979239,0.8305562655797669,0.2794455447316866,0.09651084395711874,0.12403905879286256,0.3317976826966766,0.6351590559852206,0.6443505343054168,0.902919681979239,0.41035430696064595,0.3889435517709407,0.09651084395711874,0.12403905879286256,0.42,1.4,0.98,0.68,-3.57,-6.29,-0.84,56776.0,76806.0,102986.0,38147.0,26973.0,32099.0,43668.0,140887.0,0.0,0.0
"Hemet, CA",83,0.0,1211.03,3.4412629889541315,0.0,1211.03,5060.529071999999,14.38,5049.971640000001,14.35,0.030000000000001137,10.557431999998698,13097.03,35191.44,0.0,1211.03,4143.89,11.7752783063154,-2.1147053516423306,0.8822915761424286,-2.1801404034617504,0.46976997677116666,-2.1147053516423306,0.8822915761424286,-2.146158611298657,0.8800112067427424,0.0,0.0,0.0316852393650274,0.06775655111904834,-2.1147053516423306,0.8822915761424286,-2.1147053516423306,0.8822915761424286,0.0,0.0,0.0,0.0,-2.52,-1.4,1.12,0.25,3.77,-3.95,11.49,33678.5,42588.0,58700.0,36287.0,45433.0,49001.0,72208.0,202929.0,0.0,0.0
"Santa Maria, CA",82,2732.83,426.2100000000001,2.1958947726359397,2578.98,426.2100000000001,1708.0272000000002,8.8,1498.4056799999998,7.72,1.080000000000001,209.62152000000037,6873.3,19409.4,2732.83,426.2100000000001,1511.7700000000002,7.788854884746567,2.4798633085000055,0.8658806071605591,2.4833640710171356,0.6892316738831792,1.290509062619143,0.9176876914003589,2.40606916751677,0.8594229205295857,1.1885733459045618,0.36920080484830514,0.0735740775088359,0.07127568831119875,2.0334161385720324,0.5471942968604787,2.40606916751677,0.8594229205295857,0.4464702566797531,0.44450612563122155,0.0735740775088359,0.07127568831119875,2.26,3.1,0.8400000000000003,0.52,-3.36,-7.88,1.17,53674.5,70241.5,87907.5,35010.0,34520.0,32721.0,40394.0,142645.0,0.0,0.0
